Designator,Val,Package,Mid X, Mid Y,Rotation,Layer
"C1","100n","C_0402_1005Metric",134.400000,-41.075000,90.000000,top
"C2","100n","C_0402_1005Metric",136.750000,-54.500000,-90.000000,top
"C3","100n","C_0402_1005Metric",135.450000,-41.675000,90.000000,top
"C4","100n","C_0402_1005Metric",131.000000,-46.850000,-90.000000,top
"C5","100n","C_0402_1005Metric",140.300000,-49.850000,-90.000000,top
"C6","100n","C_0402_1005Metric",130.950000,-49.875000,-90.000000,top
"C7","100n","C_0402_1005Metric",135.750000,-54.500000,-90.000000,top
"C8","100n","C_0402_1005Metric",140.300000,-45.487500,-90.000000,top
"C9","100n","C_0402_1005Metric",140.300000,-43.587500,90.000000,top
"C10","1u","C_0402_1005Metric",139.700000,-41.687500,90.000000,top
"C13","1u","C_0402_1005Metric",138.650000,-41.675000,90.000000,top
"C15","1u","C_0402_1005Metric",145.750000,-42.450000,-90.000000,top
"C16","1u","C_0402_1005Metric",140.750000,-41.700000,90.000000,top
"C17","100n","C_0402_1005Metric",131.000000,-38.650000,90.000000,top
"C18","15p","C_0402_1005Metric",132.450000,-53.050000,0.000000,top
"C19","15p","C_0402_1005Metric",134.750000,-56.450000,-90.000000,top
"C101","100n","C_0402_1005Metric",149.600000,-54.875000,-90.000000,top
"C102","100n","C_0402_1005Metric",146.800000,-41.595000,90.000000,top
"C103","100n","C_0402_1005Metric",148.550000,-54.275000,-90.000000,top
"C104","100n","C_0402_1005Metric",153.000000,-49.100000,90.000000,top
"C105","100n","C_0402_1005Metric",143.680000,-46.100000,90.000000,top
"C106","100n","C_0402_1005Metric",153.030000,-46.075000,90.000000,top
"C107","100n","C_0402_1005Metric",147.800000,-41.595000,90.000000,top
"C108","100n","C_0402_1005Metric",143.700000,-50.500000,90.000000,top
"C109","100n","C_0402_1005Metric",143.700000,-52.400000,-90.000000,top
"C110","1u","C_0402_1005Metric",144.350000,-54.300000,-90.000000,top
"C113","1u","C_0402_1005Metric",145.350000,-54.245000,-90.000000,top
"C117","100n","C_0402_1005Metric",153.000000,-57.300000,-90.000000,top
"C118","15p","C_0402_1005Metric",151.550000,-42.900000,180.000000,top
"C119","15p","C_0402_1005Metric",148.850000,-39.850000,90.000000,top
"R3","27","R_0402_1005Metric",136.500000,-41.675000,-90.000000,top
"R4","27","R_0402_1005Metric",137.580000,-41.675000,-90.000000,top
"R5","10k","R_0402_1005Metric",131.000000,-44.925000,90.000000,top
"R6","1k","R_0402_1005Metric",131.000000,-58.300000,-90.000000,top
"R7","1k","R_0402_1005Metric",134.750000,-54.550000,90.000000,top
"R101","5.1k","R_0402_1005Metric",144.700000,-57.750000,0.000000,top
"R102","5.1k","R_0402_1005Metric",140.700000,-57.250000,90.000000,top
"R103","27","R_0402_1005Metric",147.500000,-54.275000,90.000000,top
"R104","27","R_0402_1005Metric",146.420000,-54.275000,90.000000,top
"R105","10k","R_0402_1005Metric",153.000000,-51.025000,-90.000000,top
"R106","1k","R_0402_1005Metric",153.000000,-59.925000,-90.000000,top
"R107","1k","R_0402_1005Metric",148.850000,-41.800000,-90.000000,top
"SW2","SW_Push","SW_SPST_B3U-1000P",134.000000,-59.250000,180.000000,top
"SW102","SW_Push","SW_SPST_B3U-1000P",150.000000,-59.250000,0.000000,top
"U3","RP2040","RP2040-QFN-56",135.650000,-48.375000,0.000000,top
"U4","TLV73333PDBV","SOT-23-5",143.200000,-41.150000,0.000000,top
"U5","W25Q128JVS","8-USON",131.750000,-41.625000,0.000000,top
"U103","RP2040","RP2040-QFN-56",148.350000,-47.575000,180.000000,top
"U105","W25Q128JVS","8-USON",152.250000,-54.325000,180.000000,top
"USB1","USB_A","C42459",142.000000,-36.800000,180.000000,top
"USB101","HRO-TYPE-C-31-M-12","HRO-TYPE-C-31-M-12-Assembly",142.000000,-61.956000,0.000000,top
"Y1","Crystal_GND24","Crystal_SMD_2520-4Pin_2.5x2.0mm",132.700000,-55.300000,-90.000000,top
"Y101","Crystal_GND24","Crystal_SMD_2520-4Pin_2.5x2.0mm",150.900000,-40.650000,90.000000,top
